along_track_km,latitude,longitude,surface_elevation_m,bed_elevation_m,ice_thickness_m,median_velocity_m_yr,deformation_velocity_m_yr
0.0,60.440367,-141.330939,1820.01,814.83,1005.18,203.0,11.763263076398731
0.192,60.439904,-141.327559,1823.83,812.79,1011.05,203.0,11.970176558147786
0.443,60.439319,-141.323152,1827.45,801.69,1025.76,203.0,12.498086617292776
0.693,60.438739,-141.318746,1829.51,786.61,1042.9,206.0,13.130206402597087
0.944,60.438154,-141.314328,1830.36,774.68,1055.67,209.0,13.613108080163059
1.195,60.437565,-141.309913,1831.54,772.68,1058.86,210.0,13.735336159486634
1.445,60.436959,-141.305523,1832.06,780.16,1051.89,211.0,13.4691007359175
1.695,60.436362,-141.301131,1833.39,789.69,1043.7,213.5,13.160158649880477
1.905,60.435882,-141.297427,1835.55,797.66,1037.88,214.0,12.943169911737956
2.03,60.435609,-141.295217,1837.5,801.82,1035.68,216.0,12.861698195230968
2.196,60.435245,-141.29228,1840.21,806.28,1033.94,212.0,12.79747557100251
2.447,60.434693,-141.287845,1844.18,813.94,1030.24,213.5,12.661538351029318
2.697,60.434145,-141.28343,1847.39,825.85,1021.54,210.0,12.345264158808154
2.947,60.433622,-141.278998,1849.42,842.44,1006.98,207.0,11.826484995303968
3.197,60.433098,-141.27456,1850.73,866.84,983.89,209.0,11.030664689071761
3.448,60.432558,-141.270123,1851.88,907.62,944.26,205.0,9.740961321257304
3.698,60.432037,-141.265682,1854.41,959.4,895.02,200.0,8.270660220104592
3.948,60.431506,-141.261266,1859.24,1009.23,850.01,204.0,7.052139790497535
4.198,60.430972,-141.256831,1865.53,1032.34,833.19,205.0,6.626939696840807
4.449,60.43041,-141.252402,1871.3,1047.53,823.77,204.0,6.39587329076962
4.699,60.429815,-141.248019,1874.37,1075.91,798.46,196.0,5.799883505428334
4.95,60.429202,-141.243616,1874.99,1101.7,773.29,191.0,5.242611103619255
5.2,60.428583,-141.239223,1874.99,1127.75,747.24,182.0,4.702345846593588
5.452,60.42798,-141.234808,1876.66,1159.77,716.89,179.0,4.1186780724909955
5.702,60.4274,-141.230395,1879.75,1193.93,685.82,175.0,3.5708680060411697
5.908,60.426914,-141.226785,1883.33,1216.73,666.6,171.0,3.2565034069600243
6.034,60.426589,-141.224581,1885.73,1225.87,659.86,169.0,3.1506111048173895
6.205,60.426119,-141.221621,1889.14,1232.52,656.62,164.0,3.1005021544576192
6.456,60.425418,-141.217276,1891.46,1234.14,657.32,158.0,3.1112846160764294
6.707,60.424743,-141.212903,1892.01,1230.25,661.76,155.0,3.180235577975602
6.958,60.424111,-141.208516,1892.79,1228.11,664.68,150.0,3.226110077369034
7.209,60.423461,-141.204132,1897.96,1231.3,666.66,149.0,3.257456135005847
7.46,60.422847,-141.199727,1905.95,1234.63,671.32,147.0,3.331996376321619
7.71,60.422321,-141.1953,1912.42,1230.96,681.46,147.5,3.497932551249029
7.96,60.421871,-141.190832,1916.3,1225.08,691.22,147.0,3.6625326231266846
8.211,60.4215,-141.186337,1918.45,1217.59,700.86,142.0,3.829859149599618
8.461,60.421027,-141.181877,1920.48,1208.6,711.88,141.0,4.026981981361533
8.712,60.420389,-141.177489,1923.05,1193.79,729.25,142.0,4.3505054609360085
8.963,60.419686,-141.173138,1928.29,1173.89,754.4,145.0,4.847185203031771
9.142,60.419189,-141.170037,1933.24,1162.08,771.16,144.0,5.197052424501083
9.268,60.418889,-141.167833,1936.41,1154.14,782.26,144.0,5.43719967655756
9.465,60.418474,-141.164334,1941.0,1139.83,801.18,145.0,5.862208633977107
9.716,60.417998,-141.159878,1945.48,1119.08,826.4,145.0,6.459877532795294
9.965,60.417531,-141.155426,1949.5,1097.57,851.94,144.0,7.10196959752867
10.215,60.417033,-141.150989,1952.42,1074.26,878.16,140.0,7.800343522552475
10.465,60.416554,-141.146551,1953.77,1046.57,907.2,138.0,8.620875242072918
10.715,60.41607,-141.142097,1954.59,1017.03,937.56,138.0,9.53234972957817
10.966,60.415557,-141.13764,1955.72,993.46,962.26,141.5,10.314878896430965
11.215,60.415018,-141.133243,1957.82,974.37,983.46,141.0,11.01615576345395
11.466,60.414455,-141.12881,1960.44,952.29,1008.15,142.0,11.86768680904826
11.717,60.413855,-141.124411,1963.54,931.68,1031.86,144.0,12.720951693597028
11.967,60.41324,-141.120028,1966.3,917.85,1048.45,140.0,13.338825508548238
12.217,60.412761,-141.115579,1969.24,901.65,1067.59,138.0,14.073106440803036
12.467,60.412331,-141.111099,1971.59,885.42,1086.17,144.0,14.807972587118686
12.717,60.411833,-141.106665,1973.52,873.38,1100.14,141.0,15.37488321952687
